sentence1,sentence2,answer
"Heathrow campaigners arrested over M4 protest Fifteen people have been arrested during a protest near Heathrow against airport expansion. Those arrested were among a small group of people who ran on to an M4 spur road and lay down in front of oncoming traffic, causing temporary disruption. A Metropolitan police spokesman said: “There have been 15 arrests for obstructing the highway and public order offences. Other campaigners gathered on the flyover to chant “no ifs, no buts, no third runway” and “no more runways” in the protest organised by the campaign group RisingUp! Placards reading “Heathrow expansion will destroy thousands of homes” and “protect the planet, no more runways”, were also held high. A spokesman for the group said: “The government’s decisions to expand Heathrow, despite mass opposition from local residents and the fact that doing so is incompatible with the UK’s own laws on climate change, leaves us with no morally acceptable option but to resist. “Only 15% of the British public is responsible for 70% of international flights taken in the UK and Heathrow largely serves international passengers who have a mean income of £57,000 per year.",Who is killed in a protest?,no-answer
"Heathrow campaigners arrested over M4 protest Fifteen people have been arrested during a protest near Heathrow against airport expansion. Those arrested were among a small group of people who ran on to an M4 spur road and lay down in front of oncoming traffic, causing temporary disruption. A Metropolitan police spokesman said: “There have been 15 arrests for obstructing the highway and public order offences. Other campaigners gathered on the flyover to chant “no ifs, no buts, no third runway” and “no more runways” in the protest organised by the campaign group RisingUp! Placards reading “Heathrow expansion will destroy thousands of homes” and “protect the planet, no more runways”, were also held high. A spokesman for the group said: “The government’s decisions to expand Heathrow, despite mass opposition from local residents and the fact that doing so is incompatible with the UK’s own laws on climate change, leaves us with no morally acceptable option but to resist. “Only 15% of the British public is responsible for 70% of international flights taken in the UK and Heathrow largely serves international passengers who have a mean income of £57,000 per year.",How many are killed in a protest?,no-answer
"Heathrow campaigners arrested over M4 protest Fifteen people have been arrested during a protest near Heathrow against airport expansion. Those arrested were among a small group of people who ran on to an M4 spur road and lay down in front of oncoming traffic, causing temporary disruption. A Metropolitan police spokesman said: “There have been 15 arrests for obstructing the highway and public order offences. Other campaigners gathered on the flyover to chant “no ifs, no buts, no third runway” and “no more runways” in the protest organised by the campaign group RisingUp! Placards reading “Heathrow expansion will destroy thousands of homes” and “protect the planet, no more runways”, were also held high. A spokesman for the group said: “The government’s decisions to expand Heathrow, despite mass opposition from local residents and the fact that doing so is incompatible with the UK’s own laws on climate change, leaves us with no morally acceptable option but to resist. “Only 15% of the British public is responsible for 70% of international flights taken in the UK and Heathrow largely serves international passengers who have a mean income of £57,000 per year.",Who is arrested in a protest?,Those
"Heathrow campaigners arrested over M4 protest Fifteen people have been arrested during a protest near Heathrow against airport expansion. Those arrested were among a small group of people who ran on to an M4 spur road and lay down in front of oncoming traffic, causing temporary disruption. A Metropolitan police spokesman said: “There have been 15 arrests for obstructing the highway and public order offences. Other campaigners gathered on the flyover to chant “no ifs, no buts, no third runway” and “no more runways” in the protest organised by the campaign group RisingUp! Placards reading “Heathrow expansion will destroy thousands of homes” and “protect the planet, no more runways”, were also held high. A spokesman for the group said: “The government’s decisions to expand Heathrow, despite mass opposition from local residents and the fact that doing so is incompatible with the UK’s own laws on climate change, leaves us with no morally acceptable option but to resist. “Only 15% of the British public is responsible for 70% of international flights taken in the UK and Heathrow largely serves international passengers who have a mean income of £57,000 per year.",How many are arrested in a protest?,15|Fifteen people
"Heathrow campaigners arrested over M4 protest Fifteen people have been arrested during a protest near Heathrow against airport expansion. Those arrested were among a small group of people who ran on to an M4 spur road and lay down in front of oncoming traffic, causing temporary disruption. A Metropolitan police spokesman said: “There have been 15 arrests for obstructing the highway and public order offences. Other campaigners gathered on the flyover to chant “no ifs, no buts, no third runway” and “no more runways” in the protest organised by the campaign group RisingUp! Placards reading “Heathrow expansion will destroy thousands of homes” and “protect the planet, no more runways”, were also held high. A spokesman for the group said: “The government’s decisions to expand Heathrow, despite mass opposition from local residents and the fact that doing so is incompatible with the UK’s own laws on climate change, leaves us with no morally acceptable option but to resist. “Only 15% of the British public is responsible for 70% of international flights taken in the UK and Heathrow largely serves international passengers who have a mean income of £57,000 per year.",Who leads/organizes a protest?,the campaign group RisingUp!|the group|us
"Heathrow campaigners arrested over M4 protest Fifteen people have been arrested during a protest near Heathrow against airport expansion. Those arrested were among a small group of people who ran on to an M4 spur road and lay down in front of oncoming traffic, causing temporary disruption. A Metropolitan police spokesman said: “There have been 15 arrests for obstructing the highway and public order offences. Other campaigners gathered on the flyover to chant “no ifs, no buts, no third runway” and “no more runways” in the protest organised by the campaign group RisingUp! Placards reading “Heathrow expansion will destroy thousands of homes” and “protect the planet, no more runways”, were also held high. A spokesman for the group said: “The government’s decisions to expand Heathrow, despite mass opposition from local residents and the fact that doing so is incompatible with the UK’s own laws on climate change, leaves us with no morally acceptable option but to resist. “Only 15% of the British public is responsible for 70% of international flights taken in the UK and Heathrow largely serves international passengers who have a mean income of £57,000 per year.",What a protest is meant to end?,expansion
"Heathrow campaigners arrested over M4 protest Fifteen people have been arrested during a protest near Heathrow against airport expansion. Those arrested were among a small group of people who ran on to an M4 spur road and lay down in front of oncoming traffic, causing temporary disruption. A Metropolitan police spokesman said: “There have been 15 arrests for obstructing the highway and public order offences. Other campaigners gathered on the flyover to chant “no ifs, no buts, no third runway” and “no more runways” in the protest organised by the campaign group RisingUp! Placards reading “Heathrow expansion will destroy thousands of homes” and “protect the planet, no more runways”, were also held high. A spokesman for the group said: “The government’s decisions to expand Heathrow, despite mass opposition from local residents and the fact that doing so is incompatible with the UK’s own laws on climate change, leaves us with no morally acceptable option but to resist. “Only 15% of the British public is responsible for 70% of international flights taken in the UK and Heathrow largely serves international passengers who have a mean income of £57,000 per year.",Where a protest has taken place?,Heathrow|Heathrow|Heathrow|Heathrow|airport|Heathrow
"Heathrow campaigners arrested over M4 protest Fifteen people have been arrested during a protest near Heathrow against airport expansion. Those arrested were among a small group of people who ran on to an M4 spur road and lay down in front of oncoming traffic, causing temporary disruption. A Metropolitan police spokesman said: “There have been 15 arrests for obstructing the highway and public order offences. Other campaigners gathered on the flyover to chant “no ifs, no buts, no third runway” and “no more runways” in the protest organised by the campaign group RisingUp! Placards reading “Heathrow expansion will destroy thousands of homes” and “protect the planet, no more runways”, were also held high. A spokesman for the group said: “The government’s decisions to expand Heathrow, despite mass opposition from local residents and the fact that doing so is incompatible with the UK’s own laws on climate change, leaves us with no morally acceptable option but to resist. “Only 15% of the British public is responsible for 70% of international flights taken in the UK and Heathrow largely serves international passengers who have a mean income of £57,000 per year.",Who is accused of a protest?,who|a small group of people|Other campaigners|Heathrow campaigners
"Heathrow campaigners arrested over M4 protest Fifteen people have been arrested during a protest near Heathrow against airport expansion. Those arrested were among a small group of people who ran on to an M4 spur road and lay down in front of oncoming traffic, causing temporary disruption. A Metropolitan police spokesman said: “There have been 15 arrests for obstructing the highway and public order offences. Other campaigners gathered on the flyover to chant “no ifs, no buts, no third runway” and “no more runways” in the protest organised by the campaign group RisingUp! Placards reading “Heathrow expansion will destroy thousands of homes” and “protect the planet, no more runways”, were also held high. A spokesman for the group said: “The government’s decisions to expand Heathrow, despite mass opposition from local residents and the fact that doing so is incompatible with the UK’s own laws on climate change, leaves us with no morally acceptable option but to resist. “Only 15% of the British public is responsible for 70% of international flights taken in the UK and Heathrow largely serves international passengers who have a mean income of £57,000 per year.",How many are accused of a protest?,no-answer
"North Yemen forces fired on protesters, say rebels Houthi rebels in north Yemen say the armed forces have fired on their anti-government protest. The Shia rebels claim two people were killed and at least seven were injured in the incident in the northern province of Amran, reports say. Thousands of people are reported to have gathered in the town of Harf Sufyan, near Huth, in a peaceful protest calling for political change and an end to corruption. A rebel spokesman told Reuters news agency that the military had fired rockets at protesters from an army base. The government and the Houthi rebels, members of the Zaidi Shia sect, have been observing a truce, although there are occasional clashes. The Houthi announced their support last month for anti-government protests which have been inspired by the uprisings in Egypt and Tunisia.",Who is arrested in a protest?,no-answer
"North Yemen forces fired on protesters, say rebels Houthi rebels in north Yemen say the armed forces have fired on their anti-government protest. The Shia rebels claim two people were killed and at least seven were injured in the incident in the northern province of Amran, reports say. Thousands of people are reported to have gathered in the town of Harf Sufyan, near Huth, in a peaceful protest calling for political change and an end to corruption. A rebel spokesman told Reuters news agency that the military had fired rockets at protesters from an army base. The government and the Houthi rebels, members of the Zaidi Shia sect, have been observing a truce, although there are occasional clashes. The Houthi announced their support last month for anti-government protests which have been inspired by the uprisings in Egypt and Tunisia.",How many are arrested in a protest?,no-answer
"North Yemen forces fired on protesters, say rebels Houthi rebels in north Yemen say the armed forces have fired on their anti-government protest. The Shia rebels claim two people were killed and at least seven were injured in the incident in the northern province of Amran, reports say. Thousands of people are reported to have gathered in the town of Harf Sufyan, near Huth, in a peaceful protest calling for political change and an end to corruption. A rebel spokesman told Reuters news agency that the military had fired rockets at protesters from an army base. The government and the Houthi rebels, members of the Zaidi Shia sect, have been observing a truce, although there are occasional clashes. The Houthi announced their support last month for anti-government protests which have been inspired by the uprisings in Egypt and Tunisia.",What space/building is taken over in a protest?,no-answer
"North Yemen forces fired on protesters, say rebels Houthi rebels in north Yemen say the armed forces have fired on their anti-government protest. The Shia rebels claim two people were killed and at least seven were injured in the incident in the northern province of Amran, reports say. Thousands of people are reported to have gathered in the town of Harf Sufyan, near Huth, in a peaceful protest calling for political change and an end to corruption. A rebel spokesman told Reuters news agency that the military had fired rockets at protesters from an army base. The government and the Houthi rebels, members of the Zaidi Shia sect, have been observing a truce, although there are occasional clashes. The Houthi announced their support last month for anti-government protests which have been inspired by the uprisings in Egypt and Tunisia.",When is a protest?,no-answer
"North Yemen forces fired on protesters, say rebels Houthi rebels in north Yemen say the armed forces have fired on their anti-government protest. The Shia rebels claim two people were killed and at least seven were injured in the incident in the northern province of Amran, reports say. Thousands of people are reported to have gathered in the town of Harf Sufyan, near Huth, in a peaceful protest calling for political change and an end to corruption. A rebel spokesman told Reuters news agency that the military had fired rockets at protesters from an army base. The government and the Houthi rebels, members of the Zaidi Shia sect, have been observing a truce, although there are occasional clashes. The Houthi announced their support last month for anti-government protests which have been inspired by the uprisings in Egypt and Tunisia.",Who is jailed/imprisoned in a protest?,no-answer
"North Yemen forces fired on protesters, say rebels Houthi rebels in north Yemen say the armed forces have fired on their anti-government protest. The Shia rebels claim two people were killed and at least seven were injured in the incident in the northern province of Amran, reports say. Thousands of people are reported to have gathered in the town of Harf Sufyan, near Huth, in a peaceful protest calling for political change and an end to corruption. A rebel spokesman told Reuters news agency that the military had fired rockets at protesters from an army base. The government and the Houthi rebels, members of the Zaidi Shia sect, have been observing a truce, although there are occasional clashes. The Houthi announced their support last month for anti-government protests which have been inspired by the uprisings in Egypt and Tunisia.",How many are jailed/imprisoned in a protest?,no-answer
"North Yemen forces fired on protesters, say rebels Houthi rebels in north Yemen say the armed forces have fired on their anti-government protest. The Shia rebels claim two people were killed and at least seven were injured in the incident in the northern province of Amran, reports say. Thousands of people are reported to have gathered in the town of Harf Sufyan, near Huth, in a peaceful protest calling for political change and an end to corruption. A rebel spokesman told Reuters news agency that the military had fired rockets at protesters from an army base. The government and the Houthi rebels, members of the Zaidi Shia sect, have been observing a truce, although there are occasional clashes. The Houthi announced their support last month for anti-government protests which have been inspired by the uprisings in Egypt and Tunisia.",Who leads/organizes a protest?,no-answer
"North Yemen forces fired on protesters, say rebels Houthi rebels in north Yemen say the armed forces have fired on their anti-government protest. The Shia rebels claim two people were killed and at least seven were injured in the incident in the northern province of Amran, reports say. Thousands of people are reported to have gathered in the town of Harf Sufyan, near Huth, in a peaceful protest calling for political change and an end to corruption. A rebel spokesman told Reuters news agency that the military had fired rockets at protesters from an army base. The government and the Houthi rebels, members of the Zaidi Shia sect, have been observing a truce, although there are occasional clashes. The Houthi announced their support last month for anti-government protests which have been inspired by the uprisings in Egypt and Tunisia.",What occurred because of a protest?,no-answer
"North Yemen forces fired on protesters, say rebels Houthi rebels in north Yemen say the armed forces have fired on their anti-government protest. The Shia rebels claim two people were killed and at least seven were injured in the incident in the northern province of Amran, reports say. Thousands of people are reported to have gathered in the town of Harf Sufyan, near Huth, in a peaceful protest calling for political change and an end to corruption. A rebel spokesman told Reuters news agency that the military had fired rockets at protesters from an army base. The government and the Houthi rebels, members of the Zaidi Shia sect, have been observing a truce, although there are occasional clashes. The Houthi announced their support last month for anti-government protests which have been inspired by the uprisings in Egypt and Tunisia.",What was averted/haven't occurred because of a protest?,no-answer
"North Yemen forces fired on protesters, say rebels Houthi rebels in north Yemen say the armed forces have fired on their anti-government protest. The Shia rebels claim two people were killed and at least seven were injured in the incident in the northern province of Amran, reports say. Thousands of people are reported to have gathered in the town of Harf Sufyan, near Huth, in a peaceful protest calling for political change and an end to corruption. A rebel spokesman told Reuters news agency that the military had fired rockets at protesters from an army base. The government and the Houthi rebels, members of the Zaidi Shia sect, have been observing a truce, although there are occasional clashes. The Houthi announced their support last month for anti-government protests which have been inspired by the uprisings in Egypt and Tunisia.",What will potentially occur because of a protest?,no-answer
"North Yemen forces fired on protesters, say rebels Houthi rebels in north Yemen say the armed forces have fired on their anti-government protest. The Shia rebels claim two people were killed and at least seven were injured in the incident in the northern province of Amran, reports say. Thousands of people are reported to have gathered in the town of Harf Sufyan, near Huth, in a peaceful protest calling for political change and an end to corruption. A rebel spokesman told Reuters news agency that the military had fired rockets at protesters from an army base. The government and the Houthi rebels, members of the Zaidi Shia sect, have been observing a truce, although there are occasional clashes. The Houthi announced their support last month for anti-government protests which have been inspired by the uprisings in Egypt and Tunisia.",Who is killed in a protest?,no-answer
"North Yemen forces fired on protesters, say rebels Houthi rebels in north Yemen say the armed forces have fired on their anti-government protest. The Shia rebels claim two people were killed and at least seven were injured in the incident in the northern province of Amran, reports say. Thousands of people are reported to have gathered in the town of Harf Sufyan, near Huth, in a peaceful protest calling for political change and an end to corruption. A rebel spokesman told Reuters news agency that the military had fired rockets at protesters from an army base. The government and the Houthi rebels, members of the Zaidi Shia sect, have been observing a truce, although there are occasional clashes. The Houthi announced their support last month for anti-government protests which have been inspired by the uprisings in Egypt and Tunisia.",How many are killed in a protest?,two people
"North Yemen forces fired on protesters, say rebels Houthi rebels in north Yemen say the armed forces have fired on their anti-government protest. The Shia rebels claim two people were killed and at least seven were injured in the incident in the northern province of Amran, reports say. Thousands of people are reported to have gathered in the town of Harf Sufyan, near Huth, in a peaceful protest calling for political change and an end to corruption. A rebel spokesman told Reuters news agency that the military had fired rockets at protesters from an army base. The government and the Houthi rebels, members of the Zaidi Shia sect, have been observing a truce, although there are occasional clashes. The Houthi announced their support last month for anti-government protests which have been inspired by the uprisings in Egypt and Tunisia.",What a protest is meant to end?,corruption
"North Yemen forces fired on protesters, say rebels Houthi rebels in north Yemen say the armed forces have fired on their anti-government protest. The Shia rebels claim two people were killed and at least seven were injured in the incident in the northern province of Amran, reports say. Thousands of people are reported to have gathered in the town of Harf Sufyan, near Huth, in a peaceful protest calling for political change and an end to corruption. A rebel spokesman told Reuters news agency that the military had fired rockets at protesters from an army base. The government and the Houthi rebels, members of the Zaidi Shia sect, have been observing a truce, although there are occasional clashes. The Houthi announced their support last month for anti-government protests which have been inspired by the uprisings in Egypt and Tunisia.",What is the aim of a protest?,change
"North Yemen forces fired on protesters, say rebels Houthi rebels in north Yemen say the armed forces have fired on their anti-government protest. The Shia rebels claim two people were killed and at least seven were injured in the incident in the northern province of Amran, reports say. Thousands of people are reported to have gathered in the town of Harf Sufyan, near Huth, in a peaceful protest calling for political change and an end to corruption. A rebel spokesman told Reuters news agency that the military had fired rockets at protesters from an army base. The government and the Houthi rebels, members of the Zaidi Shia sect, have been observing a truce, although there are occasional clashes. The Houthi announced their support last month for anti-government protests which have been inspired by the uprisings in Egypt and Tunisia.",Where a protest has taken place?,Harf Sufyan|north Yemen|near Huth
"North Yemen forces fired on protesters, say rebels Houthi rebels in north Yemen say the armed forces have fired on their anti-government protest. The Shia rebels claim two people were killed and at least seven were injured in the incident in the northern province of Amran, reports say. Thousands of people are reported to have gathered in the town of Harf Sufyan, near Huth, in a peaceful protest calling for political change and an end to corruption. A rebel spokesman told Reuters news agency that the military had fired rockets at protesters from an army base. The government and the Houthi rebels, members of the Zaidi Shia sect, have been observing a truce, although there are occasional clashes. The Houthi announced their support last month for anti-government protests which have been inspired by the uprisings in Egypt and Tunisia.",Who is accused of a protest?,rebel|their|the Houthi rebels|rebels|members of the Zaidi Shia sect|The Houthi|their|The Shia rebels|Houthi rebels|protesters|protesters
"North Yemen forces fired on protesters, say rebels Houthi rebels in north Yemen say the armed forces have fired on their anti-government protest. The Shia rebels claim two people were killed and at least seven were injured in the incident in the northern province of Amran, reports say. Thousands of people are reported to have gathered in the town of Harf Sufyan, near Huth, in a peaceful protest calling for political change and an end to corruption. A rebel spokesman told Reuters news agency that the military had fired rockets at protesters from an army base. The government and the Houthi rebels, members of the Zaidi Shia sect, have been observing a truce, although there are occasional clashes. The Houthi announced their support last month for anti-government protests which have been inspired by the uprisings in Egypt and Tunisia.",How many are accused of a protest?,Thousands of people
"North Yemen forces fired on protesters, say rebels Houthi rebels in north Yemen say the armed forces have fired on their anti-government protest. The Shia rebels claim two people were killed and at least seven were injured in the incident in the northern province of Amran, reports say. Thousands of people are reported to have gathered in the town of Harf Sufyan, near Huth, in a peaceful protest calling for political change and an end to corruption. A rebel spokesman told Reuters news agency that the military had fired rockets at protesters from an army base. The government and the Houthi rebels, members of the Zaidi Shia sect, have been observing a truce, although there are occasional clashes. The Houthi announced their support last month for anti-government protests which have been inspired by the uprisings in Egypt and Tunisia.",Who is injured/wounded in a protest?,no-answer
"North Yemen forces fired on protesters, say rebels Houthi rebels in north Yemen say the armed forces have fired on their anti-government protest. The Shia rebels claim two people were killed and at least seven were injured in the incident in the northern province of Amran, reports say. Thousands of people are reported to have gathered in the town of Harf Sufyan, near Huth, in a peaceful protest calling for political change and an end to corruption. A rebel spokesman told Reuters news agency that the military had fired rockets at protesters from an army base. The government and the Houthi rebels, members of the Zaidi Shia sect, have been observing a truce, although there are occasional clashes. The Houthi announced their support last month for anti-government protests which have been inspired by the uprisings in Egypt and Tunisia.",How many are injured/wounded in a protest?,at least seven
"There have been many anti-government protests in recent weeks, mainly focused in cities of Sanaa and Aden. Demonstrators want the resignation of President Ali Abdullah Saleh, who has ruled since 1978. The Houthi announced their support last month for anti-government protests which have been inspired by the uprisings in Egypt and Tunisia.",Who is arrested in a protest?,no-answer
"There have been many anti-government protests in recent weeks, mainly focused in cities of Sanaa and Aden. Demonstrators want the resignation of President Ali Abdullah Saleh, who has ruled since 1978. The Houthi announced their support last month for anti-government protests which have been inspired by the uprisings in Egypt and Tunisia.",How many are arrested in a protest?,no-answer
"There have been many anti-government protests in recent weeks, mainly focused in cities of Sanaa and Aden. Demonstrators want the resignation of President Ali Abdullah Saleh, who has ruled since 1978. The Houthi announced their support last month for anti-government protests which have been inspired by the uprisings in Egypt and Tunisia.",What space/building is taken over in a protest?,no-answer
"There have been many anti-government protests in recent weeks, mainly focused in cities of Sanaa and Aden. Demonstrators want the resignation of President Ali Abdullah Saleh, who has ruled since 1978. The Houthi announced their support last month for anti-government protests which have been inspired by the uprisings in Egypt and Tunisia.",When is a protest?,no-answer
"There have been many anti-government protests in recent weeks, mainly focused in cities of Sanaa and Aden. Demonstrators want the resignation of President Ali Abdullah Saleh, who has ruled since 1978. The Houthi announced their support last month for anti-government protests which have been inspired by the uprisings in Egypt and Tunisia.",Who is jailed/imprisoned in a protest?,no-answer
"There have been many anti-government protests in recent weeks, mainly focused in cities of Sanaa and Aden. Demonstrators want the resignation of President Ali Abdullah Saleh, who has ruled since 1978. The Houthi announced their support last month for anti-government protests which have been inspired by the uprisings in Egypt and Tunisia.",How many are jailed/imprisoned in a protest?,no-answer
"There have been many anti-government protests in recent weeks, mainly focused in cities of Sanaa and Aden. Demonstrators want the resignation of President Ali Abdullah Saleh, who has ruled since 1978. The Houthi announced their support last month for anti-government protests which have been inspired by the uprisings in Egypt and Tunisia.",Who is injured/wounded in a protest?,no-answer
